Song Title,Offset,,Key,Composer,Year,Song with Key
Green Dolphin Street,214,214,C,Ned Washington/Bronislav Kaper,1947,Green Dolphin Street (C)
Gregory Is Here,215,215,C,Horace Silver,1972,Gregory Is Here (C)
Grooveyard,216,216,C,Carl Perkins,1958,Grooveyard (C)
Groovin' High,217,217,C,Charlie Parker/Dizzy Gillespie,1944,Groovin' High (C)
Groovy Samba,218,218,C,Sergio Mendez,1963,Groovy Samba (C)
Guilty,219,219,C,Gus Kahn/Harry Akst/Richard Whiting,1931,Guilty (C)
Half Nelson,220,220,C,Miles Davis,1948,Half Nelson (C)
Harold's House of Jazz,221,222,C,Richie Cole/David Lahm,1974,Harold's House of Jazz (C)
Hat Man,223,223,C,Randy Johnston,2003,Hat Man (C)
Have You Met Miss Jones?,224,224,C,Richard Rodgers/Lorenz Hart,1957,Have You Met Miss Jones? (C)
Heartaches,225,225,C,John Klenner/Al Hoffman,1931,Heartaches (C)
Here’s That Rainy Day,226,226,C,Jimmy Van Heusen/Johnny Burke,1949,Here’s That Rainy Day (C)
Hey There,227,227,C,Richard Adler/Jerry Ross,1954,Hey There (C)
Hi-Fly,228,228,C,Randy Weston,1958,Hi-Fly (C)
Home at Last,229,229,C,Hank Mobley,1985,Home at Last (C)
Honeysuckle Rose,230,230,C,Andy Razaf/Thomas Waller,1927,Honeysuckle Rose (C)
Hot House,231,231,C,Tadd Dameron,1954,Hot House (C)
How About You,232,232,C,Ralph Freed/Burton Lane,1941,How About You (C)
How Deep is the Ocean?,233,233,C,Irving Berlin,1932,How Deep is the Ocean? (C)
How High the Moon,234,234,C,Nancy Hamilton/Morgan Lewis,1940,How High the Moon (C)
How Insensitive,235,235,C,Antonio Carlos Jobim,1963,How Insensitive (C)
How Long Has This Been Going On?,236,236,C,George & Ira Gershwin,1927,How Long Has This Been Going On? (C)
How My Heart Sings,237,237,C,Earl Zindars/Anne Zindars,1991,How My Heart Sings (C)
Humpty Dumpty,238,238,C,Chick Corea,1978,Humpty Dumpty (C)
I Believe In You,239,239,C,Frank Loesser,1961,I Believe In You (C)
I Can’t Believe that You’re In Love with Me,240,240,C,Jimmy McHugh/Clarence Gaskill,1926,I Can’t Believe that You’re In Love with Me (C)
I Can’t Get Started,241,241,C,Vernon Duke/Ira Gershwin,1935,I Can’t Get Started (C)
I Concentrate On You,242,242,C,Cole Porter,1939,I Concentrate On You (C)
I Could Write a Book,243,243,C,Richard Rodgers/Lorenz Hart,1940,I Could Write a Book (C)
I Cover the Waterfront,244,244,C,John Green/Edward Heyman,1933,I Cover the Waterfront (C)
I Didn’t Know About You,245,245,C,Duke Ellington/Bob Russell,1944,I Didn’t Know About You (C)
I Didn’t Know What Time It,246,246,C,Richard Rodgers/Lorenz Hart,1939,I Didn’t Know What Time It (C)
I Fall in Love Too Easily,247,247,C,Jule Styne/Sammy Cahn,1944,I Fall in Love Too Easily (C)
I Got It Bad (and That Ain’t Good),248,248,C,Duke Ellington/Paul Webster,1941,I Got It Bad (and That Ain’t Good) (C)
I Had the Craziest Dream,249,249,C,Harry Warren/Mack Gordon,1942,I Had the Craziest Dream (C)
I Hadn't Anyone Till You,250,250,C,Ray Noble,1938,I Hadn't Anyone Till You (C)
I Hear a Rhapsody,251,251,C,George Fragos/Jack Baker/Dick Gasparre,1940,I Hear a Rhapsody (C)
I Let a Song Go Out of my Heart,252,252,C,Duke Ellington,1938,I Let a Song Go Out of my Heart (C)
I Love Lucy,253,253,C,Eliot Daniel,1953,I Love Lucy (C)
I Love Paris,254,254,C,Cole Porter,1953,I Love Paris (C)
I Love You,255,255,C,Cole Porter,1943,I Love You (C)
I May Be Wrong But,256,256,C,Harry Ruskin/Henry Sullivan,1929,I May Be Wrong But (C)
I Miss You,257,257,C,S. Goto,,I Miss You (C)
I Only Have Eyes for You,258,258,C,Harry Warren/Al Dubin,1934,I Only Have Eyes for You (C)
I Remember Clifford,259,259,C,Benny Golson,1956,I Remember Clifford (C)
I Remember You,260,260,C,Johnny Mercer/Victor Schertzinger,1942,I Remember You (C)
I Should Care,261,261,C,Sammy Cahn/Axel Stordahl/Paul Weston,1943,I Should Care (C)
I Thought About You,262,262,C,Johnny Mercer/Jimmy Van Heusen,1939,I Thought About You (C)
I Will Wait For You,263,263,C,Michel Legrand/Norman Gimbel,1965,I Will Wait For You (C)
I Wish I Knew,264,264,C,Harry Warren/Mack Gordon,1945,I Wish I Knew (C)
I Wish You Love,265,265,C,Charles Trenet/Albert Beach,1946,I Wish You Love (C)
Idle Moments,266,266,C,Duke Person,1963,Idle Moments (C)
If I Had You,267,267,C,Jimmy Campbell/Reg Connelly/Ted Shapiro,1928,If I Had You (C)
If I Should Lose You,268,268,C,Leo Robin/Ralph Rainger,1935,If I Should Lose You (C)
If I Were a Bell,269,269,C,Frank Loesser,1950,If I Were a Bell (C)
If You Could See Me Now,270,270,C,Carl Sigman/Tadd Dameron,1946,If You Could See Me Now (C)
If You Never Come To me,271,271,C,Antonio Carlos Jobim/Ray Gilbert,1966,If You Never Come To me (C)
I’ll Be Around,272,272,C,Alec Wilder,1942,I’ll Be Around (C)
I’ll Be Seeing You,273,273,C,Irving Cahal/Sammy Fain,1938,I’ll Be Seeing You (C)
I’ll Close My Eyes,274,274,C,Buddy Kaye/Billy Reid,1947,I’ll Close My Eyes (C)
I’ll Remember April,275,275,C,Jon Raye/Gene DePaul/Pat Johnson,1941,I’ll Remember April (C)
I’ll Take Romance,276,276,C,Ben Oakland/Oscar Hammerstein,1937,I’ll Take Romance (C)
I’m a Fool to Want You,277,277,C,Frank Sinatra/Jack Wolfe/Joel Herron,1951,I’m a Fool to Want You (C)
I’m Beginning to See the Light,278,278,C,Duke Ellington/Harry James/Don George/Johnny Hodges,1944,I’m Beginning to See the Light (C)
I’m Confessin’ That I Love You,279,279,C,Al Neiburg/Doc Dougherty/Ellis Reynolds,1930,I’m Confessin’ That I Love You (C)
I’m Glad There Is You,280,280,C,Jimmy Dorsey/Paul Madeira,1941,I’m Glad There Is You (C)
I'm Just a Lucky So and So,281,281,C,Duke Ellington/Mack David,1945,I'm Just a Lucky So and So (C)
I’m Old Fashioned,282,282,C,Johnny Mercer/Jerome Kern,1942,I’m Old Fashioned (C)
I'm Through with Love,283,283,C,Gus Kahn/Matt Malneck/Fud Livingston,1951,I'm Through with Love (C)
Imagination,284,284,C,Jimmy Van Heusen/Johnny Burke,1959,Imagination (C)
In a Mellow Tone,285,285,C,Duke Ellington,1940,In a Mellow Tone (C)
In a Sentimental Mood,286,286,C,Duke Ellington/Irving Mills/Manny Kurtz,1951,In a Sentimental Mood (C)
In Love in Vain,287,287,C,Leo Robin/Jerome Kern,1946,In Love in Vain (C)
In Walked Bud,288,288,C,Thelonious Monk,1948,In Walked Bud (C)
In Your Own Sweet Way,289,289,C,Dave Brubeck,1955,In Your Own Sweet Way (C)
Incentive,290,290,C,Horace Silver,1976,Incentive (C)
Indian Summer,291,291,C,Victor Herbert/Al Dubin,1919,Indian Summer (C)
Invitation,292,292,C,Paul Francis Webster/Bronislau Kaper,1944,Invitation (C)
Isn’t It Romantic?,293,293,C,Richard Rodgers/Lorenz Hart,1952,Isn’t It Romantic? (C)
Isn’t She Lovely,294,294,C,Stevie Wonder,1976,Isn’t She Lovely (C)
It All Depends On You,295,295,C,B. G. DeSylva/Lew Brown/Ray Henderson,1926,It All Depends On You (C)
It Could Happen To You,296,296,C,Jimmy Van Heusen/Johnny Burke,1944,It Could Happen To You (C)
It Don't Mean a Thing,297,297,C,Duke Ellington/Irving Mills,1952,It Don't Mean a Thing (C)
It Had To Be You,298,298,C,Isham Jones/Gus Kahn,1924,It Had To Be You (C)
It Might As Well Be Spring,299,299,C,Richard Rodgers/Oscar Hammerstein,1945,It Might As Well Be Spring (C)
It Never Entered My Mind,300,300,C,Richard Rodgers/Lorenz Hart,1940,It Never Entered My Mind (C)
It's a Blue World,301,301,C,Robert Wright/George Forrest,1955,It's a Blue World (C)
It’s All Right With Me,302,302,C,Cole Porter,1953,It’s All Right With Me (C)
It’s Only a Paper Moon,303,303,C,Billy Rose/Edgar Yipsel Harburg/Harold Arlen,1933,It’s Only a Paper Moon (C)
It’s You or No One,304,304,C,Jule Styne/Sammy Cahn,1948,It’s You or No One (C)
I’ve Got The World on a String,305,305,C,Ted Koehler/Harold Arlen,1952,I’ve Got The World on a String (C)
I’ve Got You Under My Skin,306,306,C,Cole Porter,1936,I’ve Got You Under My Skin (C)
I’ve Grown Accustomed to Her Face,307,307,C,Jay Lerner/Frederick Loewe,1956,I’ve Grown Accustomed to Her Face (C)
I’ve Never Been in Love Before,308,308,C,Frank Loesser,1950,I’ve Never Been in Love Before (C)
Jeannine,309,309,C,Duke Pearson,1960,Jeannine (C)
Jeepers Creepers,310,310,C,Johnny Mercer/Harry Warren,1958,Jeepers Creepers (C)
Jersey Bounce,311,311,C,Bobby Plater/Tiny Bradshaw/Edward Johnson,1941,Jersey Bounce (C)
Jitterbug Waltz,312,312,C,Thomas “Fats” Waller,1942,Jitterbug Waltz (C)
Jingles,313,314,C,Wes Montgomery,1961,Jingles (C)
Jive Samba,315,315,C,Nat Adderly,1963,Jive Samba (C)
Jordu,316,316,C,Duke Jordan,1953,Jordu (C)
Journey to Recife,317,317,C,Richard Evans/Norman Gimbel,1962,Journey to Recife (C)
Joy Spring,318,318,C,Clifford Brown,1956,Joy Spring (C)
June in January,319,319,C,Leo Robin/Ralph Rainger,1934,June in January (C)
Just a Few,320,320,C,Shorty Rogers,1954,Just a Few (C)
Just Friends,321,321,C,John Klenner/Sam M. Lewis,1951,Just Friends (C)
Just in Time,322,322,C,Jule Styne/Betty Comden/Adolph Green,1956,Just in Time (C)
Just One of Those Things,323,323,C,Cole Porter,1935,Just One of Those Things (C)
Just Squeeze Me,324,324,C,Duke Ellington/Lee Gaines,1946,Just Squeeze Me (C)
"Just You, Just Me",325,325,C,Raymond Klages/Jesse Greer,1929,"Just You, Just Me (C)"
Killer Joe,326,326,C,Benny Golson,1959,Killer Joe (C)
Lady Be Good,327,327,C,George & Ira Gershwin,1924,Lady Be Good (C)
Lady Bird,328,328,C,Tadd Dameron,1947,Lady Bird (C)
Lament,329,329,C,J. J. Johnson,1954,Lament (C)
Last Night When We Were Young,330,330,C,Harold Arlen/Edgar Yipsel Harburg,1957,Last Night When We Were Young (C)
Laura,331,331,C,Johnny Mercer/David Raksin,1945,Laura (C)
Lazy Bird,332,332,C,John Coltrane,1957,Lazy Bird (C)
Lean Years,333,333,C,Pat Martino,1967,Lean Years (C)
Leila,334,334,C,Wes Montgomery,1957,Leila (C)
Let's Cool One,335,335,C,Thelonious Monk,1978,Let's Cool One (C)
Let’s Fall In Love,336,336,C,Ted Koehler/Harold Arlen,1933,Let’s Fall In Love (C)
Let’s Get Away From,337,337,C,Matt Dennis/Tom Adair,1941,Let’s Get Away From (C)
Liberated Brother,338,338,C,Weldon Irvine,1976,Liberated Brother (C)
