Song,Title,,Length,Offset,Start,End
ON GREEN DOLPHIN STREET      ,ON GREEN DOLPHIN STREET - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,242,243
ONE BIRD ONE STONE          ,ONE BIRD ONE STONE - Eb Item nrb3,The New Real Book Eb III.pdf,4,0,244,247
ONE FINGER SNAP              ,ONE FINGER SNAP - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,249,249
000 BABY BABY,000 BABY BABY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,250,251
OPUS DE FUNK                 ,OPUS DE FUNK - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,252,253
OUT A DAY                    ,OUT A DAY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,254,254
OVER THE RAINBOW             ,OVER THE RAINBOW - Eb Item nrb3,The New Real Book Eb III.pdf,2,1,256,257
PART-TIME LOVER              ,PART-TIME LOVER - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,258,259
PENDULUM                     ,PENDULUM - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,260,260
PRELUDE TO A KISS            ,PRELUDE TO A KISS - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,261,261
PROMISE                      ,PROMISE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,262,263
PUNJAB                       ,PUNJAB - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,264,265
PYRAMID                      ,PYRAMID - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,266,267
QUESTION MARK                ,QUESTION MARK - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,269,269
RAINLAND                     ,RAINLAND - Eb Item nrb3,The New Real Book Eb III.pdf,6,0,270,275
REACH OUT I'LL BE THERE     ,REACH OUT I'LL BE THERE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,276,277
REAL LIFE                    ,REAL LIFE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,278,279
RED'S BLUES                  ,RED'S BLUES - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,281,281
RELENTLESS                   ,RELENTLESS - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,282,283
RESPECT                      ,RESPECT - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,284,285
REVELATION                   ,REVELATION - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,286,287
RIDDLES                      ,RIDDLES - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,288,289
RITUAL                       ,RITUAL - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,290,291
RUBY                         ,RUBY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,292,293
 SAIL AWAY                   ,SAIL AWAY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,294,295
THE SECOND TIME AROUND       ,THE SECOND TIME AROUND - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,297,297
 SERENATA                    ,SERENATA - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,298,299
 THE SHADOW OF YOUR SMILE    ,THE SHADOW OF YOUR SMILE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,301,301
 SHORT STORY                 ,SHORT STORY - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,302,303
 SINCE WE MET                ,SINCE WE MET - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,304,305
 SMILE PLEASE                ,SMILE PLEASE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,307,307
 SO NEAR  SO FAR             ,SO NEAR SO FAR - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,308,309
 SOLITUDE                    ,SOLITUDE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,311,311
 SPEAK LIKE A CHILD          ,SPEAK LIKE A CHILD - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,312,313
 SPRING IS HERE              ,SPRING IS HERE - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,314,314
 STAIRWAY TO THE STARS       ,STAIRWAY TO THE STARS - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,315,315
 STAR EYES                   ,STAR EYES - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,316,317
 STARS FELL ON ALABAMA       ,STARS FELL ON ALABAMA - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,319,319
 STEEPIAN FAITH              ,STEEPIAN FAITH - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,320,321
STEP LIGHTLY                    ,STEP LIGHTLY - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,323,323
STOMPIN' AT THE SAVOY           ,STOMPIN' AT THE SAVOY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,324,324
STREET OF DREAMS                ,STREET OF DREAMS - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,325,325
SUB AQUA                        ,SUB AQUA - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,326,327
SUGAR                           ,SUGAR - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,329,329
SUPER BLUE                      ,SUPER BLUE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,330,331
SWEET LORRAINE                  ,SWEET LORRAINE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,332,333
SWEET LOVE                      ,SWEET LOVE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,334,335
TAKING A CHANCE ON LOVE         ,TAKING A CHANCE ON LOVE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,336,337
THAT GIRL                       ,THAT GIRL - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,338,339
THAT OLD FEELING (Standard version),THAT OLD FEELING (Standard version) - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,341,341
THAT OLD FEELING                ,THAT OLD FEELING - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,342,343
THERE'S A LULL IN MY LIFE       ,THERE'S A LULL IN MY LIFE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,344,345
34 SKIDOO,34 SKIDOO - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,346,346
THIS IS NEW                     ,THIS IS NEW - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,347,347
TINY CAPERS                     ,TINY CAPERS - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,348,349
TOKYO DREAM                     ,TOKYO DREAM - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,350,351
TOO HIGH                        ,TOO HIGH - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,352,353
TOY TUNE                        ,TOY TUNE - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,355,355
THE TRACKS OF MY TEARS          ,THE TRACKS OF MY TEARS - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,356,357
TUZZ'S SHADOW                   ,TUZZ'S SHADOW - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,358,359
(USED TO BE A) CHA-CHA          ,(USED TO BE A) CHA-CHA - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,360,361
WALK OF THE NEGRESS             ,WALK OF THE NEGRESS - Eb Item nrb3,The New Real Book Eb III.pdf,1,1,363,363
WARM VALLEY                     ,WARM VALLEY - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,364,364
WEE                             ,WEE - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,365,365
WHAT ARE YOU DOING THE REST OF YOUR LIFE,WHAT ARE YOU DOING THE REST OF YOUR LIFE - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,366,367
WHAT'S GOING ON?                ,WHAT'S GOING ON? - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,368,369
WHAT'S LOVE GOT TO DO WITH IT   ,WHAT'S LOVE GOT TO DO WITH IT - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,370,371
WHEN I LOOK IN YOUR EYES        ,WHEN I LOOK IN YOUR EYES - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,372,373
WHEN LIGHTS ARE LOW             ,WHEN LIGHTS ARE LOW - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,374,375
WHERE ARE YOU?                  ,WHERE ARE YOU? - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,376,376
YOU ARE SO BEAUTIFUL            ,YOU ARE SO BEAUTIFUL - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,377,377
YOU MUST BELIEVE IN SPRING      ,YOU MUST BELIEVE IN SPRING - Eb Item nrb3,The New Real Book Eb III.pdf,2,0,378,379
YOU STEPPED OUT OF A DREAM      ,YOU STEPPED OUT OF A DREAM - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,380,380
YOU'VE CHANGED                  ,YOU'VE CHANGED - Eb Item nrb3,The New Real Book Eb III.pdf,1,0,381,381
ACTUAL PROOF               ,ACTUAL PROOF - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,11,
THE AERIE                  ,THE AERIE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,12,
AIN'T THAT PECULIAR        ,AIN'T THAT PECULIAR - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,14,
AJA'S THEME                ,AJA'S THEME - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,16,
ALMOST LIKE BEING IN LOVE  ,ALMOST LIKE BEING IN LOVE - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,17,
AMERICAN GOTHIC            ,AMERICAN GOTHIC - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,18,
AND IT ALL GOES ROUND      ,AND IT ALL GOES ROUND - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,20,
ANOTHER STAR               ,ANOTHER STAR - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,22,
ANOTHER TIME               ,ANOTHER TIME - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,25,
APPOINTMENT IN GHANA       ,APPOINTMENT IN GHANA - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,26,
ARIETAS                    ,ARIETAS - Eb Page nrb3,The New Real Book Eb III.pdf,3,1,29,
AUTUMN SERENADE            ,AUTUMN SERENADE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,32,
B-STING                    ,B-STING - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,34,
BABY COME TO ME            ,BABY COME TO ME - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,36,
BACKSTAGE SALLY            ,BACKSTAGE SALLY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,38,
A BALLAD FOR DOLL          ,A BALLAD FOR DOLL - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,41,
BALLAD FOR TWO MUSICIANS   ,BALLAD FOR TWO MUSICIANS - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,42,
BIRD OF BEAUTY             ,BIRD OF BEAUTY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,44,
BLACK NILE                 ,BLACK NILE - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,47,
BLUE MOON                  ,BLUE MOON - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,48,
BLUE SPIRITS               ,BLUE SPIRITS - Eb Page nrb3,The New Real Book Eb III.pdf,4,0,50,
BLUE TUESDAY               ,BLUE TUESDAY - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,55,
BODY AND SOUL               ,BODY AND SOUL - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,56,
BROTHERS OF THE BOTTOM ROW ,BROTHERS OF THE BOTTOM ROW - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,58,
BU'S DELIGHT               ,BU'S DELIGHT - Eb Page nrb3,The New Real Book Eb III.pdf,4,0,60,
BUD POWELL                 ,BUD POWELL - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,64,
BUTTERFLY                  ,BUTTERFLY - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,66,
CAN'T STOP THE WIND        ,CAN'T STOP THE WIND - Eb Page nrb3,The New Real Book Eb III.pdf,4,0,68,
CARAVAN                    ,CARAVAN - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,72,
CEORA                      ,CEORA - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,75,
CHAIRS AND CHILDREN        ,CHAIRS AND CHILDREN - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,76,
CHICK'S TUNE               ,CHICK'S TUNE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,78,
CIRCULAR MOTION            ,CIRCULAR MOTION - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,80,
CIRRUS                     ,CIRRUS - Eb Page nrb3,The New Real Book Eb III.pdf,4,1,82,
CLOSE YOUR EYES            ,CLOSE YOUR EYES - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,86,
COOL GREEN                 ,COOL GREEN - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,87,
CREEPIN'                   ,CREEPIN' - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,88,
D MINOR MINT               ,D MINOR MINT - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,91,
DADDY'S GIRL  CYNTHIA      ,DADDY'S GIRL CYNTHIA - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,92,
DANCING IN THE STREET      ,DANCING IN THE STREET - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,94,
DARIUS DANCE               ,DARIUS DANCE - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,96,
DAY DREAM                  ,DAY DREAM - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,98,
DEXTER                     ,DEXTER - Eb Page nrb3,The New Real Book Eb III.pdf,1,0,99,
DIENDA   ,DIENDA - Eb Page nrb3,The New Real Book Eb III.pdf,1,1,101,
DIVERTAMENTO               ,DIVERTAMENTO - Eb Page nrb3,The New Real Book Eb III.pdf,2,0,102,
